Customer_ID,Age,Gender,Marital_Status,Education_Level,Employment_Status,Annual_Income,Credit_Score,Number_of_Credit_Lines,Credit_Utilization_Ratio,Debt_To_Income_Ratio,Number_of_Late_Payments,sss,Total_Transactions_Last_Year,Total_Spend_Last_Year,Defaulted,CLV,Total_Transactions,Avg_Transaction_Amount,Max_Transaction_Amount,Min_Transaction_Amount,Fraud_Transactions,Unique_Merchant_Categories,Unique_Transaction_Cities,,
CUST_00056,28,Female,Single,High School,Employed,47059,690,1,0.59,0.74,0,12,143,14812,0,55364,21,734.9780952380953,1964.65,9.6,0,9,14,,
CUST_00057,67,Female,Married,Master,Employed,59802,559,6,0.54,0.21,1,3,125,9671,0,33544,15,510.1086666666667,1038.08,42.76,0,7,11,,
CUST_00058,55,Male,Married,High School,Unemployed,57942,596,6,0.25,0.51,3,14,165,11053,1,39489,13,388.5184615384615,2499.47,40.6,0,7,9,,
CUST_00059,34,Male,Married,High School,Employed,67029,631,7,0.27,0.71,1,19,175,19826,1,90818,18,298.70500000000004,1305.16,3.28,0,8,10,,
CUST_00060,37,Female,Married,High School,Employed,44146,671,8,0.86,0.81,1,0,86,13320,1,30557,14,300.1485714285714,901.53,36.83,0,7,10,,
CUST_00061,56,Male,Married,High School,Employed,67077,620,9,0.03,0.28,1,12,187,21760,1,83716,20,598.3810000000001,2214.93,96.76,0,10,14,,
CUST_00062,60,Female,Single,Master,Employed,55910,679,5,0.26,0.48,3,29,84,7336,1,12199,25,391.54519999999997,1137.7,3.47,2,9,13,,
CUST_00063,24,Female,Single,Bachelor,Employed,75545,596,4,0.22,0.1,1,25,100,26220,0,93576,20,660.483,2858.09,47.13,0,9,15,,
CUST_00064,22,Female,Single,Bachelor,Employed,55313,700,5,0.37,0.73,0,25,65,15302,0,40124,24,568.6304166666666,3441.97,14.84,0,10,13,,
CUST_00065,26,Female,Married,PhD,Employed,51428,658,5,0.69,0.43,3,28,192,6988,1,30618,19,615.7005263157895,1559.22,39.59,1,9,14,,
CUST_00066,62,Male,Married,High School,Employed,70361,684,9,0.53,0.04,1,21,163,16293,0,38852,17,434.17294117647054,1261.35,24.68,0,9,13,,
CUST_00067,24,Male,Married,Bachelor,Employed,61690,557,7,0.54,0.53,1,26,39,13173,0,58237,24,604.80125,2868.27,29.15,1,9,14,,
CUST_00068,49,Male,Single,Master,Self-employed,56113,665,2,0.73,0.79,2,17,55,8491,1,24017,25,508.7,1419.23,11.65,0,10,13,,
CUST_00069,38,Female,Married,Master,Employed,57055,612,2,0.81,0.04,3,3,61,20617,1,94519,24,419.83958333333334,1618.47,3.95,0,8,16,,
CUST_00070,46,Female,Single,High School,Employed,52760,650,1,0.16,0.4,0,13,128,14057,0,70238,34,452.2279411764706,1504.61,24.03,1,10,16,,
CUST_00071,64,Female,Single,Bachelor,Self-employed,90921,627,2,0.11,0.48,2,13,128,21573,0,106172,13,689.5799999999999,2186.85,48.74,0,8,8,,
CUST_00072,54,Female,Single,High School,Employed,68238,611,2,0.3,1,0,4,82,10300,0,28419,27,483.3948148148148,1593.2,21.4,0,9,17,,
CUST_00073,30,Female,Married,Bachelor,Self-employed,71521,647,5,0.83,0.22,1,1,85,20140,1,97964,19,374.95105263157893,871.88,97.11,0,9,12,,
CUST_00074,56,Male,Single,Bachelor,Employed,67823,682,9,0.54,0.82,0,13,16,9280,0,40801,27,487.0003703703704,1728.75,9.42,2,10,13,,
CUST_00075,34,Male,Married,Master,Employed,64228,719,7,0.14,0.15,2,15,102,16602,0,17430,17,575.0500000000001,2852.96,14.97,0,7,12,,
CUST_00076,51,Male,Married,High School,Self-employed,53714,624,5,0.16,0.96,3,15,163,10481,0,24148,21,635.9428571428571,1270.74,20.35,1,9,12,,
CUST_00077,68,Female,Single,High School,Employed,49631,703,4,0.9,0.31,1,6,159,13570,0,18434,21,425.79761904761904,1065.05,5.7,0,8,13,,
CUST_00078,35,Male,Married,High School,Employed,53647,712,6,0.37,0.15,2,8,36,16320,0,25066,16,430.575625,1757.82,7.06,0,9,11,,
CUST_00079,28,Female,Single,High School,Employed,69906,600,4,0.26,0.38,0,8,68,26855,0,124704,22,399.18227272727273,1051.24,12.82,0,9,14,,
CUST_00080,34,Female,Single,High School,Employed,53514,664,7,0.69,0.02,0,6,182,15171,0,33455,20,673.423,4198.05,7.53,0,10,11,,
CUST_00081,43,Female,Single,PhD,Self-employed,79429,691,3,0.86,0.11,0,21,175,15996,1,53159,21,503.3480952380952,2743.28,23.36,0,9,12,,
CUST_00082,60,Female,Divorced,Bachelor,Employed,85417,638,8,0.44,0.5,2,11,20,30012,0,85085,22,481.36,1672.84,37.64,1,9,16,,
CUST_00083,41,Male,Married,High School,Self-employed,34052,646,8,0.79,0.94,1,2,31,10356,0,48523,25,453.2748,1757.95,21.19,0,8,15,,
CUST_00084,36,Male,Married,Bachelor,Employed,84034,676,3,0.43,0.44,1,15,105,18929,1,36711,16,488.211875,1192.53,2.46,1,8,11,,
CUST_00085,65,Female,Single,Master,Employed,43359,649,7,0.69,0.66,0,8,21,5056,0,13988,20,312.4555,1053.48,1.19,0,8,13,,
CUST_00086,38,Male,Married,Master,Employed,56072,645,1,0.57,0.71,2,23,70,19409,1,26036,23,483.39434782608697,1556.39,5.27,0,10,15,,
CUST_00087,67,Male,Married,Master,Self-employed,62247,617,5,0.89,0.04,1,13,197,19909,1,70050,19,426.8636842105263,1510.54,4.37,0,9,13,,
CUST_00088,44,Female,Married,High School,Employed,28735,621,9,0.33,0.32,0,29,155,6879,1,31261,17,444.49470588235295,1608.21,4.27,0,8,10,,
CUST_00089,46,Male,Divorced,Master,Self-employed,49707,617,2,0.77,1,1,21,146,13386,0,29751,21,651.6928571428571,2116.77,5.74,0,9,11,,
CUST_00090,45,Female,Single,Bachelor,Employed,62547,631,3,0.68,0.01,2,10,46,20772,1,86688,16,306.340625,1075.09,9.41,0,8,12,,
CUST_00091,65,Female,Married,Bachelor,Self-employed,41686,646,4,0.84,0.47,1,2,27,10085,1,15533,29,590.7606896551724,2200.85,27.69,0,9,16,,
CUST_00092,61,Male,Married,PhD,Employed,41046,620,2,0.61,0.84,1,0,67,12123,0,34766,27,547.1055555555556,2912.31,6.26,0,10,13,,
CUST_00093,49,Male,Married,Master,Employed,87826,605,6,0.46,0.29,0,25,39,21420,0,45193,15,435.8573333333333,857.71,14.82,0,7,11,,
CUST_00094,35,Male,Married,Master,Employed,61996,606,5,0.05,1,0,5,23,17812,0,65432,20,365.8975,1548.84,32.24,0,10,13,,
CUST_00095,65,Female,Single,High School,Self-employed,75169,649,5,0.84,0.49,0,18,42,19028,0,71473,14,526.8528571428571,1309.07,16.71,0,8,10,,
CUST_00096,21,Male,Single,Bachelor,Employed,88939,573,8,0.91,0.91,2,17,82,15927,1,41907,25,485.9124,1854.42,3.9,0,10,14,,
CUST_00097,45,Female,Single,PhD,Employed,72199,692,6,0.45,0.53,0,4,59,20862,0,48754,20,542.4675,1640.57,2.84,0,7,12,,
CUST_00098,27,Male,Married,Bachelor,Self-employed,52494,712,1,0.22,0.4,0,20,153,12764,0,52401,25,394.62919999999997,1387.52,11.71,0,10,13,,
CUST_00099,29,Male,Divorced,High School,Employed,51084,713,1,0.65,0.71,2,2,144,9248,0,29324,27,554.2537037037038,2179.38,5.87,0,10,15,,
CUST_00100,44,Male,Married,Master,Employed,68039,633,5,0.12,0.96,0,7,136,24566,0,78181,19,443.06105263157895,1308.18,18.4,0,7,13,,
CUST_00101,21,Male,Married,High School,Employed,70439,623,3,0.04,0.38,2,24,126,14454,1,60084,26,558.7553846153846,2197.76,1.39,1,9,14,,
CUST_00102,64,Male,Married,Master,Employed,63982,620,8,0.29,0.86,3,19,196,12435,1,43331,21,576.7514285714286,2636.68,29.06,0,8,12,,
CUST_00103,28,Female,Married,Master,Employed,71552,600,2,0.68,0.66,2,8,76,8218,1,13119,16,486.27,2195.33,56.74,0,8,10,,
CUST_00104,44,Female,Single,Bachelor,Employed,58248,684,5,0.81,0.38,0,17,143,8285,0,11869,17,432.38235294117646,1218.25,36.8,0,8,8,,
CUST_00105,31,Male,Married,Bachelor,Employed,60214,553,6,0.16,0.06,1,25,12,13441,0,27291,27,582.2433333333333,1728.98,7.62,1,10,16,,
CUST_00106,37,Male,Married,Bachelor,Employed,53686,623,3,0.95,0.31,0,19,24,14537,1,35901,19,602.5073684210525,2613.89,2.44,0,7,12,,
CUST_00107,28,Female,Married,Master,Employed,47015,620,8,0.55,0.83,1,2,62,5662,0,11768,26,530.09,1727.27,121.66,0,9,15,,
CUST_00108,55,Female,Single,Bachelor,Employed,46694,627,8,0.93,0.1,1,6,195,12998,0,25344,26,509.72115384615387,2260.92,44.97,0,10,14,,
CUST_00109,55,Male,Married,Bachelor,Employed,54480,621,6,0.15,0.57,1,20,115,14826,0,18430,24,425.80791666666664,1660.66,18.13,1,10,14,,
CUST_00110,53,Female,Married,Bachelor,Employed,71054,657,9,0.46,0.51,3,18,60,8200,1,25120,27,466.94222222222226,1530.51,37.84,0,9,15,,
CUST_00111,25,Male,Married,Bachelor,Employed,60524,680,3,0.43,0.66,0,7,191,17988,1,19471,14,684.9057142857143,1636.11,55.42,1,8,12,,
CUST_00112,62,Female,Married,Bachelor,Self-employed,53705,665,3,0.41,0.94,0,19,32,17945,0,55037,31,513.0270967741935,2494.06,3.94,0,10,15,,
CUST_00113,59,Male,Married,Master,Self-employed,56115,600,8,0.93,0.75,0,2,34,17553,1,27176,25,470.45599999999996,2723.99,30.05,0,9,13,,
CUST_00114,61,Male,Married,PhD,Self-employed,32781,561,4,0.85,0.51,0,6,116,6497,1,29219,20,443.8855,1403.24,24.14,0,8,14,,
CUST_00115,48,Female,Single,High School,Employed,52028,736,1,0.79,0.83,1,8,106,5992,1,15415,17,502.59470588235297,1253.64,39.41,0,9,12,,
CUST_00116,27,Male,Married,High School,Employed,71399,697,8,0.29,0.7,1,24,13,19363,0,79280,12,644.8441666666666,2037.17,81.07,0,6,9,,
CUST_00117,29,Female,Married,Bachelor,Employed,42669,744,8,0.34,0.9,1,19,191,12988,1,25876,16,579.94125,1731.65,1.07,0,8,11,,
CUST_00118,28,Male,Married,Bachelor,Unemployed,36546,672,5,0.26,0.72,1,8,54,13014,0,64620,16,431.134375,1696.29,27.26,0,10,11,,
CUST_00119,32,Female,Married,Bachelor,Self-employed,41593,720,2,0.79,0.75,2,8,170,4573,1,12898,20,403.3335,1395.62,18.91,0,9,12,,
CUST_00120,54,Female,Married,PhD,Employed,52606,560,7,0.39,0.08,1,14,170,9767,0,36567,14,487.875,977.98,186.03,1,8,13,,
CUST_00121,53,Male,Married,High School,Employed,59056,583,4,0.98,0,1,29,113,6097,1,28227,16,421.90125,1049.37,12.7,0,8,12,,
CUST_00122,68,Female,Married,High School,Self-employed,63480,618,8,0.36,0.96,1,15,33,14080,1,30621,19,535.8157894736842,1268,3.26,0,8,14,,
CUST_00123,43,Female,Married,High School,Employed,70571,656,6,0.17,0.25,3,20,105,12045,0,31274,26,709.6850000000001,2941.39,0.89,2,10,14,,
CUST_00124,44,Female,Married,Master,Unemployed,56334,615,7,0.93,0.17,3,3,54,6887,1,24918,21,298.26761904761906,734.43,28.48,0,7,13,,
CUST_00125,57,Female,Divorced,High School,Employed,70937,700,2,0.78,0.16,0,22,65,23219,0,38032,19,832.5778947,2732.01,44.55,1,10,11,,
CUST_00126,55,Female,Married,Bachelor,Employed,42085,696,5,0.58,0.74,1,17,54,12364,0,47062,27,396.87888888888887,1511.55,3.77,0,9,14,,
CUST_00127,64,Male,Single,Bachelor,Employed,78028,698,4,0.86,0.05,1,18,164,17742,0,75553,22,491.43136363636364,1937.55,1.7,0,9,12,,
CUST_00128,60,Male,Married,Bachelor,Employed,65388,683,3,0.95,0.66,2,29,185,9766,1,33248,11,540.2054545454546,1159.08,132.25,0,7,8,,
CUST_00129,42,Female,Married,High School,Employed,29895,665,7,0.86,0.57,1,14,166,7917,1,18068,13,449.3861538461539,1740.79,7.87,0,6,9,,
CUST_00130,47,Female,Divorced,Bachelor,Employed,61613,732,1,0.9,0.15,2,17,50,10356,0,36101,17,416.1723529411765,1862.92,1.71,1,7,12,,
CUST_00131,55,Male,Married,Bachelor,Employed,94761,739,6,0.27,0.14,0,9,39,15557,0,70805,30,460.15700000000004,1967.63,8.14,0,10,17,,
CUST_00132,21,Female,Single,PhD,Employed,90756,637,3,0.51,0.13,1,12,97,21826,0,43922,21,552.96,1552.64,22.41,0,8,15,,
CUST_00133,55,Female,Single,Master,Unemployed,59729,606,7,0.8,0.26,0,4,190,10235,1,45876,17,444.0835294117647,1415.07,9.36,0,9,9,,
CUST_00134,57,Male,Married,Bachelor,Employed,68962,710,9,0.53,0.64,2,24,75,18052,1,71028,23,473.25130434782614,1559.29,21.68,0,10,14,,
CUST_00135,67,Male,Married,PhD,Employed,43331,743,3,0.64,0.21,1,25,107,4832,1,13363,17,477.4682352941177,1758.87,44.49,1,9,14,,
CUST_00136,34,Female,Married,High School,Employed,40829,774,1,0.92,0.66,0,19,139,7147,1,35692,20,363.5065,1115.31,11.02,0,10,14,,
CUST_00137,23,Male,Single,Master,Employed,57162,681,3,0.3,0.97,0,26,131,17668,0,27548,20,539.239,1762.99,13.51,1,9,11,,
CUST_00138,21,Female,Married,Bachelor,Self-employed,52686,641,9,0.54,0.86,3,16,149,7870,0,21537,19,508.5305263157895,1515.86,19.79,0,8,12,,
CUST_00139,25,Female,Married,Bachelor,Employed,62226,593,4,0.56,0.8,1,11,16,17834,0,67856,25,527.5632,3110.91,4.56,1,9,16,,
CUST_00140,46,Male,Single,High School,Employed,69434,646,3,0.36,0.95,2,16,60,7375,0,7813,17,450.0817647058824,920.46,30.91,0,8,11,,
CUST_00141,34,Male,Single,Bachelor,Employed,68875,604,7,0.37,0.61,1,22,68,20317,1,92931,30,737.0026666666668,4107.07,13.39,1,9,13,,
CUST_00142,59,Male,Single,High School,Employed,75300,595,7,0.77,0.77,3,3,41,22349,1,53617,18,342.49055555555555,1289.23,16.34,0,8,11,,
CUST_00143,47,Male,Single,Bachelor,Employed,67605,698,4,0.93,0.77,0,16,190,12592,0,22791,20,367.67150000000004,1109.8,65.97,1,10,15,,
CUST_00144,29,Female,Single,High School,Employed,76923,626,9,0.63,0.97,0,2,173,24393,0,54501,22,491.1763636363636,2071.29,19.29,0,9,13,,
CUST_00145,35,Male,Single,Master,Employed,75432,648,9,0.49,0.65,1,3,191,11752,0,21050,15,678.8633333333333,1394.76,122.98,0,6,10,,
CUST_00146,35,Female,Married,Bachelor,Self-employed,57117,729,2,0.75,0.27,3,16,188,12505,1,12681,19,500.69000000000005,1323.44,39.05,0,9,13,,
CUST_00147,46,Male,Single,Master,Self-employed,29301,545,7,1,0.2,1,10,86,10894,1,13085,21,498.14952380952377,1305.42,3.64,0,10,14,,
CUST_00148,62,Male,Single,Master,Employed,41681,602,8,0.08,0.31,1,14,21,13846,0,23620,18,477.37611111111113,1308.88,6.07,0,9,12,,
CUST_00149,33,Male,Single,High School,Self-employed,68836,690,8,0.65,0.76,4,22,12,24474,0,89848,19,499.85052631578947,1544.78,48.62,0,10,14,,
CUST_00150,52,Male,Married,High School,Employed,62509,625,1,0.56,0.66,4,13,93,13359,1,13411,25,471.0144,1630.08,34.24,0,10,14,,
CUST_00151,59,Male,Married,Bachelor,Employed,90649,623,2,0.61,0.22,0,26,82,35643,1,135042,18,400.75555555555553,1668.99,52.49,0,10,12,,
CUST_00152,69,Male,Single,PhD,Employed,36363,666,8,0.02,0.86,0,10,147,10805,0,16959,21,511.96761904761905,1835.67,11.07,0,10,14,,
CUST_00153,52,Female,Married,Bachelor,Employed,73378,641,7,0.96,0.98,2,15,117,7373,1,22326,21,615.6142857142856,2135.58,14.69,1,9,13,,
CUST_00154,24,Female,Married,Master,Employed,59749,551,7,0.09,0.76,1,24,69,7294,0,17957,21,553.8433333333332,2399.24,0.41,0,8,13,,
CUST_00155,50,Male,Single,Master,Self-employed,47917,618,1,0.31,0.06,0,3,129,14823,1,42999,18,467.6783333333333,1352.21,6,0,7,10,,
CUST_00156,57,Male,Married,PhD,Employed,86557,574,2,0.3,0.63,1,4,123,33213,1,122580,22,554.9804545454546,2312.92,6.73,0,10,14,,
CUST_00157,43,Male,Married,Bachelor,Employed,43592,693,2,0.73,0.94,2,12,123,14077,0,25075,15,410.57800000000003,875.98,25.02,0,7,13,,
CUST_00158,59,Male,Single,Bachelor,Unemployed,65099,580,3,0.67,0.31,2,23,75,16686,0,27192,17,462.8005882352941,2088.16,8.08,0,8,11,,
CUST_00159,65,Male,Married,Master,Employed,78740,580,3,0.06,0.59,0,11,98,12601,0,59419,21,490.2433333333333,1482.32,9.99,2,10,15,,
CUST_00160,35,Male,Married,Master,Employed,47458,587,3,0.15,0.23,0,18,61,16161,0,18911,22,380.5009090909091,1801.96,30.8,0,9,13,,
CUST_00161,63,Male,Married,Bachelor,Employed,32474,692,4,0.32,0.88,2,0,121,8838,0,27272,27,481.11259259259265,2259.25,2.08,1,9,13,,
CUST_00162,49,Male,Single,Bachelor,Employed,69247,618,4,0.7,0.87,0,17,144,10417,0,32371,25,544.4392,2068.4,132.39,0,9,15,,
CUST_00163,56,Male,Divorced,Bachelor,Employed,77088,716,9,0.93,0.36,0,23,66,12745,1,13861,22,401.63545454545454,1608.55,11.76,0,8,16,,
CUST_00164,33,Male,Married,Bachelor,Employed,52403,693,3,0.32,0.35,2,1,90,11310,0,29620,23,540.6865217391305,1992.24,3.97,1,8,13,,
CUST_00165,52,Female,Single,Master,Employed,36343,705,3,0.53,0,0,10,125,7523,0,20795,21,406.2652380952381,1114.68,5.83,1,9,13,,
CUST_00166,27,Male,Married,Bachelor,Employed,63702,632,9,0.37,0.32,3,11,132,14135,0,65022,17,675.0576470588235,2095,20.5,0,9,11,,
CUST_00167,42,Male,Married,High School,Employed,55585,588,4,0.58,0.78,3,23,97,12134,1,16404,25,536.8808,1964.87,68.98,2,9,13,,
CUST_00168,48,Female,Married,High School,Unemployed,32074,634,6,0.63,0.03,2,24,60,10911,0,43441,21,827.6147619047618,2059.13,12.8,0,8,9,,
CUST_00169,22,Female,Single,Master,Employed,68694,504,5,0.52,0.2,0,27,144,11589,0,38427,17,701.11,2450.13,14.03,0,9,12,,
CUST_00170,62,Female,Single,Bachelor,Unemployed,49282,678,3,0.39,0.73,0,10,124,8400,0,37505,18,384.0938888888889,1358.51,14.3,0,8,14,,
CUST_00171,65,Female,Married,Bachelor,Self-employed,69181,663,8,0.88,0.65,1,0,24,7992,0,9427,19,377.9952631578947,1551.7,52.69,0,10,12,,
